chr	start	end	ATAC	CTCF	REST	EP300
chr22	16718200	16718400	B	B	U	U
chr22	16920000	16920200	U	B	U	U
chr22	16920200	16920400	U	B	U	U
chr22	17119600	17119800	B	B	B	U
chr22	17171600	17171800	B	B	B	U
chr22	17171800	17172000	B	B	U	U
chr22	17268600	17268800	B	B	U	U
chr22	17367000	17367200	B	B	U	U
chr22	17501600	17501800	B	B	B	U
chr22	17638800	17639000	B	B	U	U
chr22	17785200	17785400	B	B	B	U
chr22	17830200	17830400	B	B	B	U
chr22	18078800	18079000	U	B	U	U
chr22	19023000	19023200	U	B	U	U
chr22	19037200	19037400	B	B	B	U
chr22	19121400	19121600	B	B	U	U
chr22	19121600	19121800	B	B	U	U
chr22	19122200	19122400	B	B	U	U
chr22	19144600	19144800	B	B	U	B
chr22	19218000	19218200	B	B	B	B
chr22	19270800	19271000	B	B	U	U
chr22	19291200	19291400	B	B	B	U
chr22	19479400	19479600	B	B	U	B
chr22	19554800	19555000	B	B	U	U
chr22	19579200	19579400	U	B	U	U
chr22	19630000	19630200	B	B	B	B
chr22	19644400	19644600	B	B	U	U
chr22	19645400	19645600	U	B	U	U
chr22	19662000	19662200	B	B	U	U
chr22	19705200	19705400	U	B	U	U
chr22	19718000	19718200	B	B	U	B
chr22	19730600	19730800	B	B	U	U
chr22	19753600	19753800	U	B	B	U
chr22	19756600	19756800	B	B	B	B
chr22	19773200	19773400	B	B	U	U
chr22	19788000	19788200	B	B	U	U
chr22	19799000	19799200	B	B	U	U
chr22	19910200	19910400	B	B	B	B
chr22	19912600	19912800	B	B	U	U
chr22	19941200	19941400	B	B	U	U
chr22	19953600	19953800	B	B	B	U
chr22	19988800	19989000	B	B	U	B
chr22	20013600	20013800	B	B	U	U
chr22	20021600	20021800	B	B	U	B
chr22	20079800	20080000	B	B	U	B
chr22	20116000	20116200	B	B	U	U
chr22	20116200	20116400	B	B	U	U
chr22	20117200	20117400	B	B	U	B
chr22	20129400	20129600	B	B	B	B
chr22	20130600	20130800	B	B	U	U
chr22	20186400	20186600	B	B	B	U
chr22	20195600	20195800	U	B	U	U
chr22	20216000	20216200	B	B	U	U
chr22	20238600	20238800	B	B	B	U
chr22	20258600	20258800	B	B	B	B
chr22	20268200	20268400	B	B	B	B
chr22	20298800	20299000	B	B	U	U
chr22	20429800	20430000	B	B	U	U
chr22	20439400	20439600	B	B	U	U
chr22	20487800	20488000	B	B	U	U
chr22	20509400	20509600	B	B	U	B
chr22	20549400	20549600	U	B	U	U
chr22	20552200	20552400	U	B	U	U
chr22	20571400	20571600	B	B	B	B
chr22	20604800	20605000	B	B	U	U
chr22	20697600	20697800	U	B	B	U
