chr	start	end	ATAC	CTCF	REST	EP300
chr4	684000	684200	B	B	U	U
chr4	762800	763000	U	B	U	U
chr4	829000	829200	B	B	U	U
chr4	876800	877000	U	B	U	U
chr4	892000	892200	B	B	U	U
chr4	996200	996400	B	B	B	B
chr4	1050800	1051000	B	B	U	U
chr4	1092200	1092400	B	B	U	U
chr4	1234200	1234400	U	B	U	U
chr4	1354400	1354600	U	B	U	U
chr4	1354800	1355000	U	B	U	U
chr4	1356200	1356400	B	B	B	U
chr4	1377200	1377400	U	B	U	U
chr4	1377400	1377600	U	B	U	U
chr4	1513400	1513600	B	B	B	U
chr4	1548800	1549000	B	B	U	U
chr4	1748600	1748800	B	B	B	U
chr4	1760000	1760200	U	B	U	U
chr4	1763400	1763600	B	B	U	U
chr4	1768000	1768200	B	B	U	U
chr4	1856800	1857000	B	B	U	U
chr4	1949000	1949200	B	B	U	U
chr4	2243600	2243800	U	B	B	U
chr4	2395600	2395800	B	B	B	B
chr4	2413400	2413600	B	B	B	U
chr4	2416600	2416800	B	B	U	U
chr4	2419200	2419400	U	B	B	U
chr4	2419400	2419600	U	B	B	U
chr4	2804000	2804200	U	B	U	B
chr4	3233800	3234000	B	B	B	U
chr4	3466400	3466600	U	B	U	U
chr4	3476400	3476600	U	B	U	U
chr4	3476600	3476800	U	B	U	U
chr4	3792800	3793000	U	B	U	U
chr4	4248600	4248800	B	B	U	U
chr4	4480800	4481000	U	B	U	U
chr4	4519200	4519400	U	B	U	U
chr4	4765800	4766000	U	B	U	U
chr4	4888800	4889000	U	B	U	U
chr4	4985800	4986000	B	B	U	U
chr4	5821600	5821800	B	B	U	U
chr4	6032800	6033000	B	B	U	U
chr4	6033000	6033200	B	B	U	U
chr4	6228000	6228200	U	B	U	U
chr4	6264200	6264400	B	B	B	U
chr4	6621200	6621400	B	B	B	U
chr4	6675000	6675200	B	B	B	B
chr4	6680800	6681000	B	B	U	U
chr4	6690000	6690200	U	B	U	U
chr4	6782200	6782400	B	B	B	U
chr4	6873400	6873600	B	B	U	U
chr4	7032200	7032400	B	B	B	B
chr4	7168000	7168200	U	B	U	U
chr4	7238600	7238800	U	B	U	U
chr4	7296000	7296200	B	B	B	U
chr4	7333800	7334000	U	B	U	U
chr4	7804200	7804400	B	B	B	U
chr4	7987600	7987800	B	B	B	U
chr4	8015600	8015800	U	B	U	U
chr4	8021800	8022000	B	B	U	U
chr4	8110800	8111000	B	B	U	U
chr4	8236200	8236400	U	B	U	U
chr4	8274800	8275000	B	B	U	U
chr4	8284000	8284200	B	B	U	U
chr4	8440400	8440600	B	B	U	U
chr4	8504000	8504200	B	B	U	U
chr4	8585400	8585600	U	B	U	U
chr4	8918000	8918200	B	B	B	U
chr4	9532000	9532200	B	B	U	U
chr4	9765200	9765400	U	B	U	U
chr4	9927600	9927800	U	B	U	U
chr4	10013800	10014000	B	B	U	U
chr4	10018800	10019000	B	B	B	U
chr4	10063800	10064000	B	B	B	U
chr4	10260800	10261000	B	B	U	U
chr4	10261000	10261200	B	B	U	U
chr4	10549800	10550000	B	B	B	U
chr4	10582000	10582200	B	B	U	U
chr4	12633000	12633200	B	B	B	U
chr4	13627600	13627800	B	B	U	B
chr4	14956600	14956800	U	B	U	U
chr4	15149800	15150000	B	B	B	B
chr4	15150000	15150200	B	B	B	B
chr4	15396200	15396400	B	B	B	U
chr4	15805800	15806000	B	B	B	U
chr4	15848200	15848400	B	B	U	U
chr4	15848400	15848600	B	B	U	U
chr4	16205800	16206000	B	B	U	U
chr4	16506000	16506200	U	B	U	U
chr4	16582800	16583000	B	B	U	U
chr4	17324400	17324600	B	B	U	U
chr4	17762800	17763000	U	B	U	U
chr4	17817200	17817400	B	B	U	U
chr4	19224800	19225000	U	B	B	U
chr4	20299800	20300000	U	B	U	U
chr4	20418800	20419000	B	B	U	U
chr4	20544600	20544800	U	B	U	U
chr4	20544800	20545000	U	B	B	U
chr4	20773400	20773600	B	B	U	U
chr4	21469600	21469800	U	B	U	U
chr4	21768400	21768600	U	B	B	U
chr4	21789200	21789400	B	B	B	U
chr4	22389200	22389400	B	B	B	U
chr4	22389400	22389600	B	B	B	U
chr4	22897400	22897600	U	B	U	U
chr4	23933000	23933200	U	B	U	U
chr4	24473000	24473200	B	B	B	U
chr4	24515000	24515200	B	B	U	U
chr4	25144800	25145000	U	B	U	U
chr4	25234800	25235000	B	B	U	U
chr4	25235000	25235200	B	B	U	U
chr4	25312800	25313000	B	B	U	B
chr4	25767800	25768000	B	B	U	U
chr4	26069400	26069600	B	B	U	U
chr4	26330200	26330400	B	B	B	U
chr4	27084800	27085000	B	B	B	B
chr4	27357200	27357400	U	B	U	U
chr4	27357400	27357600	U	B	U	U
chr4	31370800	31371000	U	B	U	U
chr4	33061200	33061400	U	B	U	U
chr4	34720600	34720800	U	B	U	U
chr4	36188000	36188200	U	B	U	U
chr4	36400000	36400200	U	B	U	U
chr4	37383600	37383800	U	B	U	U
chr4	37603200	37603400	B	B	B	U
chr4	37803400	37803600	U	B	B	U
chr4	38055400	38055600	U	B	U	U
chr4	38179800	38180000	B	B	B	U
chr4	38184600	38184800	U	B	U	U
chr4	38319000	38319200	B	B	U	B
chr4	38466600	38466800	B	B	B	B
chr4	38518600	38518800	U	B	U	U
chr4	38758000	38758200	U	B	U	U
chr4	38805000	38805200	B	B	U	U
chr4	38856800	38857000	B	B	U	B
chr4	38873800	38874000	B	B	U	U
chr4	39044200	39044400	B	B	U	B
chr4	39637400	39637600	B	B	U	U
chr4	39639000	39639200	B	B	U	B
chr4	39977800	39978000	B	B	U	B
chr4	39978000	39978200	B	B	U	B
chr4	40325400	40325600	B	B	B	U
chr4	40514600	40514800	B	B	B	B
chr4	40550800	40551000	B	B	B	U
chr4	40551000	40551200	B	B	B	U
chr4	40737200	40737400	U	B	U	U
chr4	40838800	40839000	U	B	U	U
chr4	40976400	40976600	U	B	U	U
chr4	41212600	41212800	U	B	U	U
chr4	41214800	41215000	B	B	U	U
chr4	41661600	41661800	B	B	B	U
chr4	41693600	41693800	U	B	U	U
chr4	41963200	41963400	U	B	U	U
chr4	43132200	43132400	U	B	U	U
chr4	44674600	44674800	U	B	U	U
chr4	46844600	46844800	U	B	B	U
chr4	46886600	46886800	U	B	U	U
chr4	47490600	47490800	B	B	U	U
chr4	47564400	47564600	B	B	U	U
chr4	47705600	47705800	U	B	U	U
chr4	47934000	47934200	U	B	B	U
chr4	48016400	48016600	B	B	U	U
chr4	48141200	48141400	B	B	U	U
chr4	48203800	48204000	B	B	U	B
chr4	48270000	48270200	B	B	B	U
chr4	48341000	48341200	B	B	U	B
chr4	48546400	48546600	B	B	B	U
chr4	48682000	48682200	B	B	U	U
chr4	51842800	51843000	B	B	B	U
chr4	52545600	52545800	B	B	B	U
chr4	52660000	52660200	B	B	U	U
chr4	52665600	52665800	U	B	B	U
chr4	52671000	52671200	B	B	U	U
chr4	53908800	53909000	B	B	B	B
chr4	54228000	54228200	B	B	U	U
chr4	54234200	54234400	B	B	B	U
chr4	54323000	54323200	B	B	B	U
chr4	54440800	54441000	U	B	U	U
chr4	54683600	54683800	U	B	U	U
chr4	54971600	54971800	B	B	B	U
chr4	55008800	55009000	B	B	U	U
chr4	55009000	55009200	B	B	U	U
chr4	55184600	55184800	B	B	U	U
chr4	55385200	55385400	B	B	U	U
chr4	55948800	55949000	B	B	B	B
chr4	56129400	56129600	B	B	U	U
chr4	56183400	56183600	B	B	U	U
chr4	56656600	56656800	U	B	U	U
chr4	57163800	57164000	B	B	U	U
chr4	57190800	57191000	B	B	U	U
chr4	57191200	57191400	U	B	U	U
chr4	63717400	63717600	U	B	U	U
chr4	63717600	63717800	U	B	U	U
chr4	64158800	64159000	U	B	U	U
chr4	67122000	67122200	U	B	U	U
chr4	68076200	68076400	U	B	U	U
chr4	68175600	68175800	B	B	B	U
chr4	68375400	68375600	B	B	U	U
chr4	70183800	70184000	U	B	U	U
chr4	70601400	70601600	B	B	B	U
chr4	70705600	70705800	B	B	B	U
chr4	70839600	70839800	B	B	B	U
chr4	72286200	72286400	U	B	U	U
chr4	72326800	72327000	B	B	B	U
chr4	72909600	72909800	U	B	B	U
chr4	73259200	73259400	B	B	U	B
chr4	73615800	73616000	U	B	U	U
chr4	73869200	73869400	B	B	U	U
chr4	74228800	74229000	B	B	B	U
chr4	74311800	74312000	B	B	B	U
chr4	74320400	74320600	B	B	B	U
chr4	74531800	74532000	B	B	B	U
chr4	74675800	74676000	B	B	B	U
chr4	74794400	74794600	B	B	U	U
chr4	75573800	75574000	B	B	B	U
chr4	75653800	75654000	B	B	U	U
chr4	75848200	75848400	B	B	B	U
chr4	76251600	76251800	B	B	B	U
chr4	76627000	76627200	U	B	U	U
chr4	77045600	77045800	U	B	U	U
chr4	77121000	77121200	U	B	B	U
chr4	77618600	77618800	B	B	U	U
chr4	77699600	77699800	B	B	U	U
chr4	77818400	77818600	B	B	U	U
chr4	79917400	79917600	B	B	U	U
chr4	80215400	80215600	U	B	B	U
chr4	80619000	80619200	U	B	U	U
chr4	80619400	80619600	U	B	U	U
chr4	81351600	81351800	B	B	U	U
chr4	81351800	81352000	B	B	U	U
chr4	81406200	81406400	B	B	B	U
chr4	81433400	81433600	U	B	U	U
chr4	81920000	81920200	U	B	U	U
chr4	82275800	82276000	B	B	B	U
chr4	82360800	82361000	B	B	U	U
chr4	82429400	82429600	B	B	U	B
chr4	82852400	82852600	B	B	U	U
chr4	82891400	82891600	B	B	U	U
chr4	83013000	83013200	B	B	B	B
chr4	83055000	83055200	U	B	U	U
chr4	83282000	83282200	U	B	U	U
chr4	83284600	83284800	B	B	U	U
chr4	83455400	83455600	B	B	U	U
chr4	83644800	83645000	B	B	B	U
chr4	83780400	83780600	U	B	U	U
chr4	83961600	83961800	U	B	U	U
chr4	84159800	84160000	B	B	U	U
