chr	start	end	ATAC	CTCF	REST	EP300
chr22	12602000	12602200	B	B	U	U
chr22	16391600	16391800	B	B	U	U
chr22	16784000	16784200	B	B	B	B
chr22	17540600	17540800	B	B	B	U
chr22	17638200	17638400	B	B	U	U
chr22	17638400	17638600	B	B	U	B
chr22	17754400	17754600	U	B	U	U
chr22	17785400	17785600	B	B	B	U
chr22	17788600	17788800	B	B	U	U
chr22	17896600	17896800	B	B	U	U
chr22	17910400	17910600	B	B	U	U
chr22	18071000	18071200	U	B	U	U
chr22	18077800	18078000	B	B	U	B
chr22	18078600	18078800	B	B	U	U
chr22	18157400	18157600	B	B	B	U
chr22	18954400	18954600	B	B	U	U
chr22	18987800	18988000	B	B	B	U
chr22	18999000	18999200	B	B	U	U
chr22	19036200	19036400	B	B	U	U
chr22	19144800	19145000	B	B	U	B
chr22	19177800	19178000	U	B	U	U
chr22	19397800	19398000	B	B	U	B
chr22	19406400	19406600	B	B	U	B
chr22	19448200	19448400	B	B	U	U
chr22	19473400	19473600	B	B	U	U
chr22	19479600	19479800	B	B	U	B
chr22	19576600	19576800	B	B	U	U
chr22	19578000	19578200	U	B	U	B
chr22	19579000	19579200	U	B	U	U
chr22	19579400	19579600	U	B	U	U
chr22	19629800	19630000	B	B	B	B
chr22	19695800	19696000	B	B	U	U
chr22	19767000	19767200	B	B	U	B
chr22	19798800	19799000	B	B	U	U
chr22	19801200	19801400	B	B	B	U
chr22	19806400	19806600	B	B	B	B
chr22	19854200	19854400	B	B	U	U
chr22	19854800	19855000	B	B	U	B
chr22	19869600	19869800	U	B	B	U
chr22	19876000	19876200	U	B	U	U
chr22	19889000	19889200	U	B	U	U
chr22	19891800	19892000	B	B	B	B
chr22	19970400	19970600	B	B	B	B
chr22	20009600	20009800	B	B	U	B
chr22	20013400	20013600	B	B	U	U
chr22	20025400	20025600	B	B	U	B
chr22	20038400	20038600	U	B	U	U
chr22	20061200	20061400	U	B	U	U
chr22	20080000	20080200	B	B	U	B
chr22	20129200	20129400	B	B	B	B
chr22	20134000	20134200	U	B	U	U
chr22	20154200	20154400	B	B	B	U
chr22	20193600	20193800	B	B	U	U
chr22	20268400	20268600	B	B	B	B
chr22	20431000	20431200	U	B	U	U
chr22	20456400	20456600	B	B	B	B
chr22	20565400	20565600	U	B	U	U
chr22	20571600	20571800	B	B	B	B
chr22	20577600	20577800	B	B	B	U
chr22	20583800	20584000	B	B	B	U
chr22	20611200	20611400	U	B	U	U
chr22	20751400	20751600	B	B	U	U
chr22	20758800	20759000	B	B	U	U
chr22	20857400	20857600	B	B	U	B
