chr	start	end	ATAC	CTCF	REST	EP300
chr22	12602200	12602400	B	B	U	U
chr22	16391800	16392000	B	B	U	U
chr22	16783800	16784000	B	B	B	B
chr22	17009800	17010000	B	B	U	U
chr22	17058400	17058600	B	B	B	U
chr22	17095800	17096000	B	B	U	U
chr22	17366800	17367000	B	B	U	U
chr22	17486200	17486400	B	B	U	U
chr22	17563200	17563400	B	B	U	U
chr22	17563600	17563800	B	B	U	U
chr22	17888800	17889000	B	B	B	U
chr22	17889000	17889200	B	B	B	U
chr22	17920000	17920200	B	B	U	U
chr22	18078000	18078200	B	B	U	B
chr22	18122000	18122200	U	B	U	U
chr22	19035600	19035800	B	B	B	U
chr22	19035800	19036000	B	B	B	U
chr22	19037000	19037200	B	B	B	U
chr22	19039200	19039400	U	B	U	U
chr22	19175200	19175400	U	B	U	U
chr22	19175400	19175600	U	B	U	U
chr22	19179600	19179800	B	B	U	B
chr22	19447800	19448000	B	B	B	B
chr22	19477800	19478000	U	B	U	U
chr22	19479200	19479400	B	B	U	B
chr22	19577800	19578000	U	B	B	U
chr22	19679600	19679800	B	B	B	B
chr22	19705400	19705600	U	B	U	U
chr22	19739800	19740000	U	B	U	U
chr22	19753400	19753600	U	B	B	U
chr22	19760200	19760400	U	B	U	U
chr22	19760400	19760600	U	B	U	U
chr22	19806600	19806800	B	B	B	B
chr22	19820800	19821000	U	B	B	U
chr22	19875800	19876000	U	B	U	U
chr22	19891600	19891800	B	B	B	B
chr22	19969800	19970000	U	B	U	U
chr22	19970600	19970800	B	B	B	B
chr22	19974800	19975000	B	B	U	B
chr22	20014800	20015000	U	B	U	U
chr22	20080600	20080800	B	B	U	U
chr22	20085000	20085200	B	B	U	U
chr22	20085200	20085400	B	B	U	U
chr22	20111400	20111600	B	B	U	U
chr22	20157000	20157200	B	B	B	U
chr22	20180200	20180400	B	B	U	U
chr22	20195400	20195600	U	B	U	U
chr22	20239800	20240000	U	B	U	U
chr22	20285800	20286000	B	B	B	U
chr22	20430000	20430200	U	B	U	U
chr22	20483000	20483200	U	B	B	U
chr22	20507600	20507800	B	B	U	B
chr22	20551600	20551800	U	B	U	U
chr22	20551800	20552000	U	B	U	U
chr22	20564200	20564400	B	B	U	B
chr22	20588400	20588600	B	B	U	U
chr22	20611600	20611800	U	B	U	U
chr22	20729400	20729600	U	B	U	U
chr22	20729600	20729800	U	B	U	U
chr22	20858800	20859000	B	B	U	B
chr22	20885400	20885600	B	B	B	U
chr22	20888800	20889000	U	B	U	U
chr22	20917200	20917400	B	B	U	B
chr22	20967800	20968000	B	B	U	U
chr22	20982000	20982200	B	B	U	B
chr22	21000600	21000800	B	B	U	B
chr22	21000800	21001000	B	B	U	B
chr22	21002200	21002400	B	B	U	U
chr22	21014200	21014400	B	B	U	B
chr22	21072600	21072800	U	B	U	U
chr22	21450200	21450400	U	B	U	U
chr22	21568600	21568800	B	B	U	B
chr22	21594000	21594200	B	B	U	U
chr22	21619000	21619200	U	B	U	U
chr22	21622200	21622400	U	B	U	U
chr22	21651800	21652000	B	B	U	U
chr22	21652800	21653000	U	B	U	U
chr22	21657400	21657600	B	B	U	U
chr22	21660200	21660400	B	B	U	U
chr22	21726600	21726800	B	B	U	U
chr22	21736200	21736400	B	B	U	U
chr22	21918000	21918200	B	B	U	U
chr22	21943400	21943600	U	B	U	U
chr22	21947600	21947800	B	B	U	B
chr22	21982800	21983000	B	B	U	B
chr22	21985000	21985200	B	B	U	B
chr22	22171600	22171800	B	B	B	U
chr22	22171800	22172000	B	B	B	U
chr22	22195400	22195600	B	B	B	B
chr22	22380600	22380800	B	B	U	U
chr22	22394800	22395000	U	B	U	U
chr22	22397200	22397400	B	B	B	U
chr22	22404000	22404200	B	B	U	U
chr22	22409200	22409400	B	B	U	U
chr22	22753000	22753200	B	B	U	U
chr22	22753600	22753800	B	B	B	B
chr22	22929600	22929800	U	B	U	U
chr22	23054400	23054600	B	B	U	U
chr22	23054600	23054800	B	B	U	U
chr22	23086800	23087000	B	B	U	B
chr22	23095000	23095200	B	B	U	U
chr22	23100800	23101000	U	B	U	U
chr22	23103400	23103600	U	B	U	U
chr22	23119800	23120000	B	B	U	U
chr22	23164400	23164600	U	B	U	U
chr22	23290400	23290600	B	B	U	U
chr22	23290600	23290800	B	B	U	U
chr22	23433400	23433600	B	B	U	U
chr22	23766800	23767000	B	B	B	U
chr22	23768400	23768600	B	B	B	U
chr22	23889000	23889200	B	B	U	U
chr22	23895600	23895800	B	B	U	U
chr22	24178600	24178800	U	B	U	U
chr22	24259400	24259600	U	B	U	U
chr22	24421400	24421600	B	B	B	U
chr22	24707600	24707800	B	B	U	U
chr22	24886600	24886800	U	B	U	U
chr22	25028400	25028600	B	B	B	U
chr22	25172400	25172600	U	B	U	U
chr22	25202400	25202600	B	B	B	U
chr22	25236000	25236200	B	B	B	U
chr22	25544000	25544200	U	B	U	U
chr22	25702200	25702400	U	B	B	U
chr22	25903200	25903400	U	B	U	U
chr22	26170800	26171000	U	B	B	U
chr22	26172600	26172800	B	B	U	U
chr22	26398800	26399000	B	B	B	U
chr22	26461200	26461400	B	B	B	U
chr22	26479000	26479200	B	B	U	U
chr22	26503000	26503200	B	B	U	U
chr22	26669000	26669200	U	B	U	U
chr22	26674600	26674800	U	B	U	U
chr22	26679200	26679400	B	B	B	U
chr22	26937200	26937400	U	B	U	U
chr22	27937600	27937800	U	B	U	U
chr22	27991200	27991400	B	B	U	U
chr22	28020200	28020400	B	B	B	U
chr22	28741600	28741800	B	B	U	U
chr22	29359600	29359800	U	B	U	U
chr22	29625600	29625800	B	B	U	U
chr22	29727200	29727400	B	B	U	U
chr22	29883600	29883800	B	B	U	U
chr22	30088800	30089000	U	B	B	U
chr22	30256000	30256200	B	B	B	U
chr22	30286800	30287000	B	B	B	U
chr22	30424000	30424200	B	B	B	U
chr22	30454200	30454400	U	B	U	U
chr22	30485400	30485600	B	B	B	U
chr22	30755400	30755600	B	B	B	U
chr22	30764000	30764200	B	B	B	U
chr22	30863400	30863600	B	B	U	U
chr22	30920400	30920600	B	B	B	U
chr22	31107600	31107800	B	B	B	U
chr22	31618400	31618600	U	B	U	U
chr22	31819000	31819200	U	B	U	U
chr22	31846800	31847000	B	B	U	U
chr22	31847000	31847200	B	B	U	U
chr22	31977400	31977600	B	B	B	U
chr22	32128000	32128200	B	B	U	U
chr22	32206800	32207000	B	B	U	U
chr22	32266400	32266600	B	B	U	U
chr22	32529000	32529200	B	B	B	U
chr22	32823200	32823400	B	B	B	U
chr22	33203400	33203600	U	B	B	U
chr22	33210400	33210600	B	B	U	U
chr22	33579600	33579800	U	B	U	U
chr22	33923600	33923800	U	B	U	U
chr22	35141000	35141200	B	B	B	U
chr22	35229800	35230000	U	B	U	U
chr22	35350800	35351000	B	B	B	U
chr22	35352400	35352600	B	B	U	U
chr22	35619800	35620000	U	B	U	U
chr22	35839000	35839200	U	B	B	U
chr22	36334000	36334200	B	B	U	U
chr22	36455000	36455200	B	B	B	U
chr22	36529200	36529400	B	B	U	B
chr22	36546400	36546600	B	B	U	U
chr22	36782000	36782200	B	B	U	U
chr22	36986400	36986600	U	B	U	U
chr22	37267000	37267200	B	B	B	U
chr22	37498400	37498600	B	B	U	U
chr22	37643400	37643600	B	B	B	U
chr22	37817600	37817800	B	B	B	U
chr22	38107200	38107400	U	B	U	U
chr22	38202400	38202600	B	B	U	U
chr22	38353200	38353400	B	B	B	U
chr22	38412800	38413000	B	B	B	U
chr22	38441200	38441400	U	B	U	U
chr22	38513200	38513400	B	B	U	U
chr22	38733200	38733400	B	B	U	U
chr22	38766200	38766400	B	B	U	U
chr22	38843400	38843600	B	B	U	U
chr22	38927200	38927400	U	B	U	U
chr22	38965800	38966000	B	B	U	U
chr22	39171000	39171200	B	B	B	U
chr22	39244000	39244200	U	B	U	U
chr22	39311000	39311200	B	B	B	U
chr22	39316600	39316800	B	B	U	U
chr22	39343600	39343800	B	B	U	U
chr22	39399800	39400000	B	B	U	U
